from_revision,from_code,to_revision,to_code,weight,note
H4,010121,H4,010121,1.0000,identity
H4,010129,H4,010129,1.0000,identity
H4,010130,H4,010130,1.0000,identity
H4,010190,H4,010190,1.0000,identity
H4,010221,H4,010221,1.0000,identity
H4,010229,H4,010229,1.0000,identity
H4,010231,H4,010231,1.0000,identity
H4,010239,H4,010239,1.0000,identity
H4,010290,H4,010290,1.0000,identity
H4,010310,H4,010310,1.0000,identity
H4,010391,H4,010391,1.0000,identity
H4,010392,H4,010392,1.0000,identity
H4,010410,H4,010410,1.0000,identity
H4,010420,H4,010420,1.0000,identity
H4,010511,H4,010511,1.0000,identity
H4,010512,H4,010512,1.0000,identity
H4,010513,H4,010513,1.0000,identity
H4,010514,H4,010514,1.0000,identity
H4,010515,H4,010515,1.0000,identity
H4,010594,H4,010594,1.0000,identity
H4,010599,H4,010599,1.0000,identity
H4,010611,H4,010611,1.0000,identity
H4,010612,H4,010612,1.0000,identity
H4,010613,H4,010613,1.0000,identity
H4,010614,H4,010614,1.0000,identity
H4,010619,H4,010619,1.0000,identity
H4,010620,H4,010620,1.0000,identity
H4,010631,H4,010631,1.0000,identity
H4,010632,H4,010632,1.0000,identity
H4,010633,H4,010633,1.0000,identity
H4,010639,H4,010639,1.0000,identity
H4,010641,H4,010641,1.0000,identity
H4,010649,H4,010649,1.0000,identity
H4,010690,H4,010690,1.0000,identity
H4,020110,H4,020110,1.0000,identity
H4,020120,H4,020120,1.0000,identity
H4,020130,H4,020130,1.0000,identity
H4,020210,H4,020210,1.0000,identity
H4,020220,H4,020220,1.0000,identity
H4,020230,H4,020230,1.0000,identity
H4,020311,H4,020311,1.0000,identity
H4,020312,H4,020312,1.0000,identity
H4,020319,H4,020319,1.0000,identity
H4,020321,H4,020321,1.0000,identity
H4,020322,H4,020322,1.0000,identity
H4,020329,H4,020329,1.0000,identity
H4,020410,H4,020410,1.0000,identity
H4,020421,H4,020421,1.0000,identity
H4,020422,H4,020422,1.0000,identity
H4,020423,H4,020423,1.0000,identity
H4,020430,H4,020430,1.0000,identity
H4,020441,H4,020441,1.0000,identity
H4,020442,H4,020442,1.0000,identity
H4,020443,H4,020443,1.0000,identity
H4,020450,H4,020450,1.0000,identity
H4,020500,H4,020500,1.0000,identity
H4,020610,H4,020610,1.0000,identity
H4,020621,H4,020621,1.0000,identity
H4,020622,H4,020622,1.0000,identity
H4,020629,H4,020629,1.0000,identity
H4,020630,H4,020630,1.0000,identity
H4,020641,H4,020641,1.0000,identity
H4,020649,H4,020649,1.0000,identity
H4,020680,H4,020680,1.0000,identity
H4,020690,H4,020690,1.0000,identity
H4,020711,H4,020711,1.0000,identity
H4,020712,H4,020712,1.0000,identity
H4,020713,H4,020713,1.0000,identity
H4,020714,H4,020714,1.0000,identity
H4,020724,H4,020724,1.0000,identity
H4,020725,H4,020725,1.0000,identity
H4,020726,H4,020726,1.0000,identity
H4,020727,H4,020727,1.0000,identity
H4,020741,H4,020741,1.0000,identity
H4,020742,H4,020742,1.0000,identity
H4,020743,H4,020743,1.0000,identity
H4,020744,H4,020744,1.0000,identity
H4,020745,H4,020745,1.0000,identity
H4,020751,H4,020751,1.0000,identity
H4,020752,H4,020752,1.0000,identity
H4,020753,H4,020753,1.0000,identity
H4,020754,H4,020754,1.0000,identity
H4,020755,H4,020755,1.0000,identity
H4,020760,H4,020760,1.0000,identity
H4,020810,H4,020810,1.0000,identity
H4,020830,H4,020830,1.0000,identity
H4,020840,H4,020840,1.0000,identity
H4,020850,H4,020850,1.0000,identity
H4,020860,H4,020860,1.0000,identity
H4,020890,H4,020890,1.0000,identity
H4,020910,H4,020910,1.0000,identity
H4,020990,H4,020990,1.0000,identity
H4,021011,H4,021011,1.0000,identity
H4,021012,H4,021012,1.0000,identity
H4,021019,H4,021019,1.0000,identity
H4,021020,H4,021020,1.0000,identity
H4,021091,H4,021091,1.0000,identity
H4,021092,H4,021092,1.0000,identity
H4,021093,H4,021093,1.0000,identity
H4,021099,H4,021099,1.0000,identity
H4,030111,H4,030111,1.0000,identity
H4,030119,H4,030119,1.0000,identity
H4,030191,H4,030191,1.0000,identity
H4,030192,H4,030192,1.0000,identity
H4,030193,H4,030193,1.0000,identity
H4,030194,H4,030194,1.0000,identity
H4,030195,H4,030195,1.0000,identity
H4,030199,H4,030199,1.0000,identity
H4,030211,H4,030211,1.0000,identity
H4,030213,H4,030213,1.0000,identity
H4,030214,H4,030214,1.0000,identity
H4,030219,H4,030219,1.0000,identity
H4,030221,H4,030221,1.0000,identity
H4,030222,H4,030222,1.0000,identity
H4,030223,H4,030223,1.0000,identity
H4,030224,H4,030224,1.0000,identity
H4,030229,H4,030229,1.0000,identity
H4,030231,H4,030231,1.0000,identity
H4,030232,H4,030232,1.0000,identity
H4,030233,H4,030233,1.0000,identity
H4,030234,H4,030234,1.0000,identity
H4,030235,H4,030235,1.0000,identity
H4,030236,H4,030236,1.0000,identity
H4,030239,H4,030239,1.0000,identity
H4,030241,H4,030241,1.0000,identity
H4,030242,H4,030242,1.0000,identity
H4,030243,H4,030243,1.0000,identity
H4,030244,H4,030244,1.0000,identity
H4,030245,H4,030245,1.0000,identity
H4,030246,H4,030246,1.0000,identity
H4,030247,H4,030247,1.0000,identity
H4,030251,H4,030251,1.0000,identity
H4,030252,H4,030252,1.0000,identity
H4,030253,H4,030253,1.0000,identity
H4,030254,H4,030254,1.0000,identity
H4,030255,H4,030255,1.0000,identity
H4,030256,H4,030256,1.0000,identity
H4,030259,H4,030259,1.0000,identity
H4,030271,H4,030271,1.0000,identity
H4,030272,H4,030272,1.0000,identity
H4,030273,H4,030273,1.0000,identity
H4,030274,H4,030274,1.0000,identity
H4,030279,H4,030279,1.0000,identity
H4,030281,H4,030281,1.0000,identity
H4,030282,H4,030282,1.0000,identity
H4,030283,H4,030283,1.0000,identity
H4,030284,H4,030284,1.0000,identity
H4,030285,H4,030285,1.0000,identity
H4,030289,H4,030289,1.0000,identity
H4,030290,H4,030290,1.0000,identity
H4,030311,H4,030311,1.0000,identity
H4,030312,H4,030312,1.0000,identity
H4,030313,H4,030313,1.0000,identity
H4,030314,H4,030314,1.0000,identity
H4,030319,H4,030319,1.0000,identity
H4,030323,H4,030323,1.0000,identity
H4,030324,H4,030324,1.0000,identity
H4,030325,H4,030325,1.0000,identity
H4,030326,H4,030326,1.0000,identity
H4,030329,H4,030329,1.0000,identity
H4,030331,H4,030331,1.0000,identity
H4,030332,H4,030332,1.0000,identity
H4,030333,H4,030333,1.0000,identity
H4,030334,H4,030334,1.0000,identity
H4,030339,H4,030339,1.0000,identity
H4,030341,H4,030341,1.0000,identity
H4,030342,H4,030342,1.0000,identity
H4,030343,H4,030343,1.0000,identity
H4,030344,H4,030344,1.0000,identity
H4,030345,H4,030345,1.0000,identity
H4,030346,H4,030346,1.0000,identity
H4,030349,H4,030349,1.0000,identity
H4,030351,H4,030351,1.0000,identity
H4,030353,H4,030353,1.0000,identity
H4,030354,H4,030354,1.0000,identity
H4,030355,H4,030355,1.0000,identity
H4,030356,H4,030356,1.0000,identity
H4,030357,H4,030357,1.0000,identity
H4,030363,H4,030363,1.0000,identity
H4,030364,H4,030364,1.0000,identity
H4,030365,H4,030365,1.0000,identity
H4,030366,H4,030366,1.0000,identity
H4,030367,H4,030367,1.0000,identity
H4,030368,H4,030368,1.0000,identity
H4,030369,H4,030369,1.0000,identity
H4,030381,H4,030381,1.0000,identity
H4,030382,H4,030382,1.0000,identity
H4,030383,H4,030383,1.0000,identity
H4,030384,H4,030384,1.0000,identity
H4,030389,H4,030389,1.0000,identity
H4,030390,H4,030390,1.0000,identity
